Retailer,RetailerID,InvoiceDate,Region,State,City,Product,PricePerUnit,UnitsSold,TotalSales,OperatingProfit,SalesMethod
Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,33.00,372,1228.00,663.00,Outlet
Foot Locker,1185732,02-06-2020,Northeast,New York,New York,Men's Street Footwear,44.00,366,1610.00,837.00,Outlet
Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,56.00,360,2016.00,1250.00,Online
Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,37.00,359,1328.00,452.00,Outlet
Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,48.00,355,1704.00,511.00,Outlet
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,46.00,354,1628.00,1026.00,Online
Foot Locker,1185732,15-03-2020,Northeast,New York,New York,Women's Apparel,47.00,352,1654.00,447.00,Outlet
Foot Locker,1185732,17-03-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25.00,350,8750.00,3063.00,In-store
Foot Locker,1185732,18-06-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,350,8750.00,3500.00,In-store
Foot Locker,1185732,18-10-2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.00,350,8750.00,3063.00,In-store
Foot Locker,1185732,18-11-2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.00,350,8750.00,3063.00,In-store
West Gear,1185732,05-12-2021,West,Utah,Salt Lake City,Women's Street Footwear,25.00,350,8750.00,3063.00,In-store
West Gear,1185732,09-12-2021,West,Utah,Salt Lake City,Women's Street Footwear,10.00,350,3500.00,1225.00,In-store
Amazon,1185732,04-10-2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.00,350,8750.00,3500.00,Online
Walmart,1185732,18-10-2021,South,Mississippi,Jackson,Women's Athletic Footwear,25.00,350,8750.00,3500.00,Online
Sports Direct,1197831,21-02-2021,South,Mississippi,Jackson,Men's Athletic Footwear,25.00,350,8750.00,3063.00,Online
Walmart,1197831,19-03-2021,South,Arkansas,Little Rock,Women's Street Footwear,10.00,350,3500.00,1400.00,Online
Walmart,1197831,19-03-2021,South,Arkansas,Little Rock,Women's Apparel,25.00,350,8750.00,3500.00,Online
Walmart,1197831,19-09-2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,350,5250.00,2100.00,Online
West Gear,1197831,21-02-2021,South,Oklahoma,Oklahoma City,Women's Apparel,20.00,350,7000.00,2800.00,Online
West Gear,1197831,21-10-2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.00,350,7000.00,2450.00,Online
Kohl's,1197831,16-01-2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.00,350,8750.00,3063.00,Online
Kohl's,1197831,16-01-2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.00,350,5250.00,1838.00,Online
Kohl's,1197831,16-01-2021,South,Oklahoma,Oklahoma City,Women's Apparel,25.00,350,8750.00,3063.00,Online
West Gear,1185732,17-02-2021,Northeast,West Virginia,Charleston,Women's Apparel,25.00,350,8750.00,3500.00,In-store
Foot Locker,1185732,01-03-2020,Northeast,New York,New York,Women's Street Footwear,32.00,350,1120.00,414.00,Outlet
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,36.00,350,1260.00,365.00,Outlet
Walmart,1185732,20-04-2020,Northeast,New York,New York,Men's Athletic Footwear,43.00,350,1505.00,497.00,Outlet
Walmart,1185732,24-04-2020,Northeast,New York,New York,Women's Apparel,45.00,350,1575.00,473.00,Outlet
Walmart,1197831,23-08-2020,South,Texas,Houston,Women's Apparel,38.00,350,1330.00,758.00,Outlet
Foot Locker,1185732,01-09-2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26.00,349,907.00,426.00,Outlet
Foot Locker,1185732,03-09-2020,Northeast,New York,New York,Women's Apparel,46.00,347,1596.00,511.00,Outlet
West Gear,1185732,11-11-2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,345,6900.00,2415.00,In-store
West Gear,1128299,01-06-2021,West,California,San Francisco,Men's Street Footwear,41.00,341,1398.00,601.00,Outlet
Foot Locker,1185732,03-05-2020,Northeast,New York,New York,Men's Athletic Footwear,41.00,340,1394.00,474.00,Outlet
Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,48.00,340,1632.00,490.00,Outlet
West Gear,1128299,01-12-2021,West,California,San Francisco,Men's Street Footwear,41.00,338,1386.00,527.00,Outlet
Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,47.00,336,1579.00,963.00,Online
Foot Locker,1185732,02-05-2020,Northeast,New York,New York,Women's Apparel,39.00,333,1299.00,351.00,Outlet
Walmart,1185732,05-05-2020,Northeast,New York,New York,Women's Street Footwear,42.00,333,1399.00,559.00,Outlet
Walmart,1197831,26-10-2020,South,Texas,Houston,Men's Street Footwear,32.00,333,1066.00,426.00,Outlet
Walmart,1197831,27-10-2020,South,Texas,Houston,Men's Athletic Footwear,34.00,333,1132.00,476.00,Outlet
West Gear,1128299,02-12-2021,West,California,San Francisco,Men's Athletic Footwear,46.00,332,1527.00,321.00,Outlet
Sports Direct,1197831,24-09-2021,South,Texas,Dallas,Women's Street Footwear,35.00,332,1162.00,546.00,Outlet
Foot Locker,1185732,01-06-2020,Northeast,New York,New York,Women's Apparel,38.00,330,1254.00,401.00,Outlet
Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,50.00,330,1650.00,462.00,Outlet
Foot Locker,1185732,08-06-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,62.00,326,2021.00,1152.00,Online
Foot Locker,1185732,18-08-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,325,8125.00,3250.00,In-store
Foot Locker,1185732,18-11-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,325,8125.00,3250.00,In-store
West Gear,1185732,01-11-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.00,325,6500.00,2600.00,In-store
West Gear,1185732,04-11-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25.00,325,8125.00,2844.00,In-store
West Gear,1185732,04-11-2021,West,Utah,Salt Lake City,Women's Street Footwear,15.00,325,4875.00,1706.00,In-store
West Gear,1185732,09-12-2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10.00,325,3250.00,1300.00,In-store
West Gear,1185732,09-12-2021,West,Utah,Salt Lake City,Men's Apparel,20.00,325,6500.00,2275.00,In-store
Amazon,1185732,03-09-2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.00,325,8125.00,3250.00,Online
Foot Locker,1185732,18-02-2021,South,Mississippi,Jackson,Women's Athletic Footwear,25.00,325,8125.00,3250.00,Online
Walmart,1197831,19-03-2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20.00,325,6500.00,2275.00,Online
Walmart,1197831,19-09-2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15.00,325,4875.00,1950.00,Online
Walmart,1197831,19-09-2021,South,Arkansas,Little Rock,Men's Apparel,25.00,325,8125.00,2844.00,Online
West Gear,1197831,21-02-2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,325,4875.00,1950.00,Online
Kohl's,1197831,14-02-2021,Midwest,Kansas,Wichita,Women's Apparel,20.00,325,6500.00,2275.00,Online
Kohl's,1197831,14-10-2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.00,325,6500.00,2275.00,Online
West Gear,1185732,16-03-2021,Northeast,West Virginia,Charleston,Women's Street Footwear,20.00,325,6500.00,2600.00,In-store
Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,58.00,325,1885.00,1150.00,Online
Foot Locker,1185732,31-03-2020,Northeast,New York,New York,Women's Athletic Footwear,40.00,324,1296.00,518.00,Outlet
Sports Direct,1185732,24-05-2020,Southeast,Florida,Miami,Men's Street Footwear,63.00,323,2035.00,1140.00,Online
Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,32.00,323,1034.00,393.00,Outlet
Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,36.00,323,1163.00,314.00,Outlet
Walmart,1197831,19-08-2020,South,Texas,Houston,Men's Athletic Footwear,33.00,323,1066.00,448.00,Outlet
Walmart,1185732,05-02-2020,Northeast,New York,New York,Women's Apparel,53.00,322,1707.00,478.00,Outlet
West Gear,1128299,02-11-2021,West,California,San Francisco,Men's Street Footwear,40.00,322,1288.00,425.00,Outlet
Sports Direct,1197831,18-09-2021,South,Texas,Dallas,Women's Street Footwear,33.00,322,1063.00,446.00,Outlet
Sports Direct,1197831,17-04-2021,South,Tennessee,Knoxville,Women's Street Footwear,30.00,322,966.00,483.00,Outlet
Sports Direct,1197831,09-08-2021,South,Alabama,Birmingham,Women's Street Footwear,31.00,322,998.00,559.00,Outlet
West Gear,1197831,20-11-2021,South,Arkansas,Little Rock,Women's Street Footwear,25.00,320,8000.00,3200.00,Online
Foot Locker,1185732,01-02-2020,Northeast,New York,New York,Men's Athletic Footwear,36.00,320,1152.00,403.00,Outlet
Foot Locker,1185732,03-03-2020,Northeast,New York,New York,Women's Apparel,44.00,320,1408.00,408.00,Outlet
Foot Locker,1185732,03-10-2020,Northeast,New York,New York,Men's Street Footwear,59.00,319,1882.00,1129.00,Online
Walmart,1197831,26-08-2020,South,Texas,Houston,Women's Street Footwear,37.00,319,1180.00,531.00,Online
Foot Locker,1185732,08-12-2020,Southeast,Florida,Miami,Men's Street Footwear,43.00,319,1372.00,782.00,Online
Foot Locker,1185732,03-11-2020,Northeast,New York,New York,Men's Athletic Footwear,41.00,318,1304.00,482.00,Outlet
Foot Locker,1185732,02-06-2020,Northeast,New York,New York,Men's Street Footwear,54.00,317,1712.00,1096.00,Online
Foot Locker,1185732,01-08-2020,Northeast,New York,New York,Men's Athletic Footwear,39.00,315,1229.00,405.00,Outlet
Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,315,1103.00,397.00,Outlet
Foot Locker,1185732,02-01-2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,315,1103.00,364.00,Outlet
Foot Locker,1185732,02-02-2020,Northeast,New York,New York,Women's Street Footwear,28.00,315,882.00,335.00,Outlet
Walmart,1185732,21-04-2020,Northeast,New York,New York,Women's Street Footwear,36.00,315,1134.00,442.00,Outlet
Walmart,1185732,23-04-2020,Northeast,New York,New York,Men's Apparel,44.00,315,1386.00,513.00,Outlet
Walmart,1197831,08-12-2020,South,Texas,Houston,Men's Street Footwear,24.00,315,756.00,295.00,Outlet
Walmart,1197831,09-07-2020,South,Texas,Houston,Women's Street Footwear,36.00,315,1134.00,431.00,Outlet
Kohl's,1189833,25-05-2021,West,California,Los Angeles,Men's Street Footwear,39.00,315,1229.00,565.00,Outlet
Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,27.00,314,848.00,348.00,Outlet
Foot Locker,1185732,18-03-2020,Northeast,New York,New York,Women's Street Footwear,37.00,314,1162.00,430.00,Outlet
Sports Direct,1197831,23-04-2021,South,Tennessee,Knoxville,Women's Street Footwear,39.00,314,1225.00,576.00,Outlet
Foot Locker,1185732,01-07-2020,Northeast,New York,New York,Men's Street Footwear,46.00,313,1440.00,893.00,Online
Foot Locker,1185732,03-04-2020,Northeast,New York,New York,Men's Street Footwear,55.00,313,1722.00,1050.00,Online
Walmart,1185732,05-03-2020,Northeast,New York,New York,Men's Street Footwear,62.00,312,1934.00,1238.00,Online
Foot Locker,1185732,02-07-2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38.00,312,1186.00,700.00,Online
Walmart,1185732,28-04-2020,Northeast,New York,New York,Men's Athletic Footwear,40.00,312,1248.00,449.00,Outlet
Foot Locker,1185732,07-05-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63.00,311,1959.00,1156.00,Online
Walmart,1185732,05-04-2020,Northeast,New York,New York,Men's Athletic Footwear,43.00,310,1333.00,467.00,Outlet
Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,53.00,308,1632.00,669.00,Online
Sports Direct,1185732,08-03-2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.00,308,1879.00,996.00,Online
Foot Locker,1185732,01-05-2020,Northeast,New York,New York,Men's Apparel,43.00,306,1316.00,487.00,Outlet
Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,43.00,306,1316.00,461.00,Outlet
Walmart,1185732,22-04-2020,Northeast,New York,New York,Women's Athletic Footwear,34.00,306,1040.00,406.00,Outlet
Walmart,1185732,05-06-2020,Northeast,New York,New York,Women's Athletic Footwear,41.00,306,1255.00,502.00,Outlet
Sports Direct,1197831,31-07-2020,South,Texas,Houston,Men's Street Footwear,20.00,306,612.00,257.00,Outlet
Sports Direct,1197831,08-06-2020,South,Texas,Houston,Men's Street Footwear,23.00,306,704.00,260.00,Outlet
Sports Direct,1197831,08-07-2020,South,Texas,Houston,Men's Athletic Footwear,29.00,306,887.00,364.00,Outlet
Walmart,1197831,21-10-2020,South,Texas,Houston,Men's Athletic Footwear,31.00,306,949.00,379.00,Outlet
Walmart,1197831,31-10-2020,South,Texas,Houston,Women's Apparel,41.00,306,1255.00,690.00,Outlet
West Gear,1128299,01-11-2021,West,California,San Francisco,Women's Apparel,60.00,306,1836.00,477.00,Outlet
West Gear,1128299,02-06-2021,West,California,San Francisco,Men's Athletic Footwear,46.00,306,1408.00,282.00,Outlet
Kohl's,1189833,05-01-2021,West,California,Los Angeles,Men's Street Footwear,36.00,306,1102.00,496.00,Outlet
Sports Direct,1197831,14-04-2021,South,Tennessee,Knoxville,Women's Apparel,37.00,306,1132.00,668.00,Outlet
West Gear,1128299,16-07-2021,South,Louisiana,New Orleans,Men's Street Footwear,62.00,306,1897.00,816.00,Outlet
Foot Locker,1185732,03-09-2020,Northeast,New York,New York,Women's Apparel,64.00,305,1952.00,761.00,Online
Walmart,1197831,30-08-2020,South,Texas,Houston,Men's Street Footwear,27.00,305,824.00,305.00,Outlet
Walmart,1197831,31-08-2020,South,Texas,Houston,Men's Athletic Footwear,33.00,305,1007.00,382.00,Outlet
Foot Locker,1197831,08-08-2021,West,Idaho,Boise,Women's Street Footwear,39.00,305,1190.00,511.00,Outlet
West Gear,1185732,17-09-2020,Southeast,Florida,Miami,Men's Street Footwear,60.00,304,1824.00,1040.00,Online
Walmart,1197831,29-08-2020,South,Texas,Houston,Women's Apparel,36.00,302,1087.00,565.00,Outlet
West Gear,1128299,18-01-2021,West,California,San Francisco,Men's Street Footwear,45.00,302,1359.00,544.00,Outlet
Sports Direct,1197831,04-01-2021,South,Tennessee,Knoxville,Men's Apparel,30.00,300,9000.00,3150.00,Outlet
Sports Direct,1197831,28-09-2021,South,Alabama,Birmingham,Men's Apparel,30.00,300,9000.00,4050.00,Outlet
Foot Locker,1185732,19-05-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30.00,300,9000.00,3150.00,In-store
Foot Locker,1185732,19-09-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,300,4500.00,1575.00,In-store
West Gear,1185732,02-11-2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,300,6000.00,2400.00,In-store
West Gear,1185732,10-11-2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,300,6000.00,2100.00,In-store
Amazon,1185732,22-01-2021,Midwest,Ohio,Columbus,Women's Street Footwear,30.00,300,9000.00,3600.00,Online
Foot Locker,1185732,17-04-2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,300,6000.00,2400.00,Online
Sports Direct,1197831,23-01-2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,300,6000.00,2400.00,Online
Walmart,1197831,20-04-2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25.00,300,7500.00,2625.00,Online
Walmart,1197831,20-04-2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,300,4500.00,1800.00,Online
Walmart,1197831,21-10-2021,South,Arkansas,Little Rock,Women's Street Footwear,20.00,300,6000.00,2400.00,Online
Kohl's,1197831,20-11-2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.00,300,4500.00,1575.00,Online
Kohl's,1197831,14-02-2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.00,300,4500.00,1575.00,Online
Kohl's,1197831,13-04-2021,Midwest,Kansas,Wichita,Women's Apparel,30.00,300,9000.00,3150.00,Online
Foot Locker,1197831,14-10-2021,Midwest,Kansas,Wichita,Women's Apparel,30.00,300,9000.00,3150.00,Online
West Gear,1185732,06-03-2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.00,300,9000.00,3150.00,In-store
West Gear,1185732,01-10-2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.00,300,7500.00,2625.00,In-store
West Gear,1185732,02-10-2021,Midwest,Indiana,Indianapolis,Women's Apparel,20.00,300,6000.00,2400.00,In-store
West Gear,1185732,17-01-2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.00,300,7500.00,3000.00,In-store
West Gear,1185732,17-02-2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.00,300,9000.00,3600.00,In-store
Sports Direct,1185732,01-07-2021,Northeast,New Jersey,Newark,Women's Street Footwear,30.00,300,9000.00,2700.00,In-store
Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,45.00,300,1350.00,837.00,Online
Walmart,1185732,05-04-2020,Northeast,New York,New York,Men's Athletic Footwear,51.00,300,1530.00,643.00,Online
West Gear,1185732,24-04-2020,Southeast,Florida,Miami,Men's Street Footwear,52.00,300,1560.00,874.00,Online
Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,60.00,299,1794.00,1076.00,Online
West Gear,1185732,09-11-2020,Southeast,Florida,Miami,Men's Street Footwear,60.00,299,1794.00,1076.00,Online
Walmart,1197831,09-10-2020,South,Texas,Houston,Women's Apparel,42.00,298,1252.00,713.00,Outlet
Walmart,1197831,28-10-2020,South,Texas,Houston,Women's Street Footwear,38.00,298,1132.00,430.00,Outlet
West Gear,1128299,23-07-2021,West,Oregon,Portland,Men's Street Footwear,60.00,298,1788.00,751.00,Outlet
Walmart,1197831,09-01-2020,South,Texas,Houston,Women's Street Footwear,39.00,297,1158.00,533.00,Online
Foot Locker,1185732,03-07-2020,Northeast,New York,New York,Women's Athletic Footwear,38.00,297,1129.00,429.00,Outlet
Kohl's,1189833,19-04-2021,West,California,Los Angeles,Men's Street Footwear,36.00,297,1069.00,470.00,Outlet
Walmart,1128299,16-07-2021,Southeast,Florida,Orlando,Men's Street Footwear,68.00,297,2020.00,747.00,Outlet
Foot Locker,1185732,02-07-2020,Northeast,New York,New York,Men's Athletic Footwear,37.00,296,1095.00,383.00,Outlet
Foot Locker,1185732,03-06-2020,Northeast,New York,New York,Women's Street Footwear,37.00,296,1095.00,449.00,Outlet
Foot Locker,1185732,18-11-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25.00,295,7375.00,2581.00,In-store
Foot Locker,1185732,03-12-2020,Northeast,New York,New York,Women's Street Footwear,35.00,295,1033.00,434.00,Outlet
Walmart,1197831,17-08-2020,South,Texas,Houston,Women's Apparel,32.00,295,944.00,538.00,Outlet
Walmart,1197831,18-08-2020,South,Texas,Houston,Men's Street Footwear,28.00,295,826.00,339.00,Outlet
Walmart,1197831,24-08-2020,South,Texas,Houston,Men's Street Footwear,29.00,295,856.00,342.00,Outlet
Sports Direct,1185732,07-02-2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,60.00,294,1764.00,882.00,Online
Walmart,1185732,29-04-2020,Northeast,New York,New York,Women's Street Footwear,43.00,294,1264.00,531.00,Outlet
Walmart,1197831,29-08-2020,South,Texas,Houston,Women's Apparel,47.00,293,1377.00,868.00,Online
West Gear,1128299,02-11-2021,West,California,San Francisco,Men's Street Footwear,51.00,293,1494.00,598.00,Online
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,48.00,290,1392.00,529.00,Online
Foot Locker,1185732,03-03-2020,Northeast,New York,New York,Women's Apparel,59.00,290,1711.00,616.00,Online
Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,62.00,290,1798.00,665.00,Online
Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,68.00,290,1972.00,749.00,Online
Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,68.00,290,1972.00,690.00,Online
West Gear,1185732,24-04-2020,Southeast,Florida,Miami,Men's Street Footwear,55.00,290,1595.00,941.00,Online
Foot Locker,1185732,12-05-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67.00,290,1943.00,1166.00,Online
Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,43.00,289,1243.00,398.00,Outlet
Foot Locker,1185732,02-03-2020,Northeast,New York,New York,Women's Athletic Footwear,31.00,289,896.00,331.00,Outlet
Foot Locker,1185732,02-09-2020,Northeast,New York,New York,Women's Athletic Footwear,33.00,289,954.00,381.00,Outlet
Walmart,1185732,25-04-2020,Northeast,New York,New York,Men's Apparel,51.00,289,1474.00,472.00,Outlet
Sports Direct,1197831,26-07-2020,South,Texas,Houston,Men's Athletic Footwear,23.00,289,665.00,279.00,Outlet
Walmart,1197831,25-10-2020,South,Texas,Houston,Women's Apparel,44.00,289,1272.00,725.00,Outlet
West Gear,1128299,11-07-2020,West,California,San Francisco,Men's Street Footwear,28.00,289,809.00,340.00,Outlet
West Gear,1128299,30-01-2021,West,California,San Francisco,Men's Street Footwear,36.00,289,1040.00,343.00,Outlet
Kohl's,1189833,05-07-2021,West,California,Los Angeles,Men's Street Footwear,38.00,289,1098.00,505.00,Outlet
Foot Locker,1185732,16-07-2021,South,Mississippi,Jackson,Men's Street Footwear,47.00,289,1358.00,625.00,Outlet
Foot Locker,1185732,02-08-2020,Northeast,New York,New York,Women's Street Footwear,36.00,288,1037.00,435.00,Outlet
Foot Locker,1185732,03-08-2020,Northeast,New York,New York,Men's Apparel,45.00,288,1296.00,441.00,Outlet
Kohl's,1189833,26-05-2021,West,California,Los Angeles,Men's Athletic Footwear,42.00,288,1210.00,339.00,Outlet
West Gear,1185732,02-10-2021,Southeast,Florida,Orlando,Men's Street Footwear,36.00,288,1037.00,487.00,Outlet
Foot Locker,1185732,09-05-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51.00,287,1464.00,849.00,Online
Walmart,1197831,13-08-2020,South,Texas,Houston,Men's Athletic Footwear,30.00,287,861.00,362.00,Outlet
